,subclass_scANVI,subclass_conf_scANVI,supertype_scANVI,supertype_conf_scANVI
SM-GE5TO_S128_E1-50,L2/3 IT,1.0,L2/3 IT_13,0.9880478382110596
SM-GE5TO_S137_E1-50,L2/3 IT,1.0,L2/3 IT_1,0.9999790191650392
SM-GE5TO_S138_E1-50,L4 IT,0.999993085861206,L4 IT_2,0.99999737739563
SM-GE5TO_S140_E1-50,Vip,1.0,Vip_6,0.9969843029975892
SM-GE5TO_S147_E1-50,L2/3 IT,1.0,L2/3 IT_6,0.9865062832832336
SM-GE5TO_S148_E1-50,L2/3 IT,0.6797953844070435,L2/3 IT_5,0.9937102794647216
SM-GE5TO_S149_E1-50,Lamp5_Lhx6,1.0,Lamp5_Lhx6_1,1.0
SM-GE5TO_S150_E1-50,L2/3 IT,0.9994901418685912,L2/3 IT_5,0.9999998807907104
SM-GE5TO_S151_E1-50,L4 IT,0.9896146655082704,L4 IT_2,0.997979700565338
SM-GE5TO_S152_E1-50,Pvalb,1.0,Pvalb_2,0.9570682048797609
SM-GE5TO_S153_E1-50,L5 IT,1.0,L5 IT_2,1.0
SM-GE5TO_S154_E1-50,Pvalb,0.9941115975379944,Pvalb_15,0.9997875094413756
SM-GE5TO_S155_E1-50,Lamp5_Lhx6,0.9999995231628418,Lamp5_Lhx6_1,1.0
SM-GE5TO_S158_E1-50,L2/3 IT,1.0,L2/3 IT_1,0.9987998008728028
SM-GE5TO_S159_E1-50,Lamp5,0.9981524348258972,Lamp5_1,0.757847249507904
SM-GE5TO_S160_E1-50,Vip,1.0,Vip_9,0.9998923540115356
SM-GE5TO_S161_E1-50,Pax6,0.9999998807907104,Pax6_1,0.9545413851737976
SM-GE5TO_S162_E1-50,Vip,1.0,Vip_5,0.999980926513672
SM-GE5TO_S163_E1-50,Vip,1.0,Vip_15,0.9999972581863404
SM-GE5TO_S166_E1-50,L2/3 IT,0.9918161034584044,L2/3 IT_1,0.9787026047706604
SM-GE5TO_S167_E1-50,L2/3 IT,1.0,L2/3 IT_13,0.9992497563362122
SM-J2NT9_S111_E1-50,L2/3 IT,1.0,L2/3 IT_10,0.996818780899048
SM-J2NT9_S112_E1-50,L2/3 IT,1.0,L2/3 IT_1,1.0
SM-J2NT9_S113_E1-50,L2/3 IT,1.0,L2/3 IT_13,0.9980278611183168
SM-J2NT9_S114_E1-50,L2/3 IT,0.9999998807907104,L2/3 IT_5,0.9970908164978028
