ses_id,path,size_mb,identifier
839918580,sub-839796862/sub-839796862_ses-839918580_icephys.nwb,26.5,baf61d81-cd46-429f-90c8-99637105eb90
839923820,sub-839796862/sub-839796862_ses-839923820_icephys.nwb,51.2,915a0f20-9f37-4d07-96ef-d187ac02798c
839934676,sub-839796862/sub-839796862_ses-839934676_icephys.nwb,60.1,a28a8caf-9ae5-482c-8634-f7d8dd796cfb
839950047,sub-839796862/sub-839796862_ses-839950047_icephys.nwb,35.0,bd21a91b-674f-4d29-badf-cde3b6439f39
839967735,sub-839796862/sub-839796862_ses-839967735_icephys.nwb,55.1,87a6de37-6f20-478d-8fc7-9640aed962a9
839970836,sub-839796862/sub-839796862_ses-839970836_icephys.nwb,28.5,eeb90185-868a-48c8-8a40-cb3e0250e5f5
840021359,sub-839796862/sub-839796862_ses-840021359_icephys.nwb,55.7,f05d95cd-d6ff-4baa-8e6a-69b575377ac0
840043481,sub-839796862/sub-839796862_ses-840043481_icephys.nwb,55.1,94bd9fd3-0456-489f-84c0-82f0eaf1a529
840047307,sub-839796862/sub-839796862_ses-840047307_icephys.nwb,46.1,87991f86-ad63-4f64-bfd6-5d4152bee627
840061977,sub-839796862/sub-839796862_ses-840061977_icephys.nwb,46.3,2ea04850-d80a-4d80-86d4-8b8883c57b9f
840065325,sub-839796862/sub-839796862_ses-840065325_icephys.nwb,22.3,0bb3cb70-3de7-4938-ac6b-86718dd55c2c
840079573,sub-839796862/sub-839796862_ses-840079573_icephys.nwb,33.4,e0d7cc86-cae2-40d3-89b2-3c450228f1bf
840088521,sub-839796862/sub-839796862_ses-840088521_icephys.nwb,70.6,953bbc04-2b97-4e64-aa3b-aa36d45beae3
840111112,sub-839796862/sub-839796862_ses-840111112_icephys.nwb,28.9,300c9656-d7ac-40fc-892d-7b34b76e3cf4
840136365,sub-839796862/sub-839796862_ses-840136365_icephys.nwb,34.3,03015f47-defd-4531-9dd8-0369f3956efc
840142339,sub-839796862/sub-839796862_ses-840142339_icephys.nwb,27.7,8602ed7e-a8f9-41fd-8af1-5e2bed97767a
840146894,sub-839796862/sub-839796862_ses-840146894_icephys.nwb,28.7,241ab2ef-9554-44ba-a8f7-e207cad38f1e
852671104,sub-852318897/sub-852318897_ses-852671104_icephys.nwb,38.4,52f34f89-8e11-444a-a7e7-6fd00f002661
852671147,sub-852318897/sub-852318897_ses-852671147_icephys.nwb,22.2,e0becc2b-6072-4175-bdbb-5a5eb6dc875e
852678594,sub-852318897/sub-852318897_ses-852678594_icephys.nwb,19.7,a8da4540-c0fb-4e67-ad31-a725db27d75d
854528421,sub-854418264/sub-854418264_ses-854528421_icephys.nwb,61.3,5596f808-9374-46fd-bf4d-da6816b591c6
854543192,sub-854418264/sub-854418264_ses-854543192_icephys.nwb,63.1,aeb77723-4059-4bbb-b304-79933a1501a4
854563868,sub-854418264/sub-854418264_ses-854563868_icephys.nwb,20.9,b60796ec-adce-4e06-afb0-710dae00586f
854615040,sub-854418264/sub-854418264_ses-854615040_icephys.nwb,49.6,ddb37ece-8626-45d2-8b94-230e98ae366e
854621770,sub-854418264/sub-854418264_ses-854621770_icephys.nwb,23.6,5b7c8c51-9213-4aec-a2a2-de958a4ad81e
854628916,sub-854418264/sub-854418264_ses-854628916_icephys.nwb,57.4,f8948171-d603-4e9b-8b02-8b6ccf606c1a
854643431,sub-854418264/sub-854418264_ses-854643431_icephys.nwb,58.0,64c2463e-86e8-474f-9c00-4d76aa3326f2
855382059,sub-854418264/sub-854418264_ses-855382059_icephys.nwb,64.4,1e3f0351-0f36-48cf-bc20-77f20fd19ccf
857469463,sub-857183962/sub-857183962_ses-857469463_icephys.nwb,24.5,90a5f73f-779e-45ed-bf2e-08ffd60e76bb
857618483,sub-857183962/sub-857183962_ses-857618483_icephys.nwb,19.4,12ffcf17-0a76-43e2-b45d-ce96a5e6c34a
857650299,sub-857183962/sub-857183962_ses-857650299_icephys.nwb,52.2,c53b62b6-aa55-4bb1-887d-2ab52257286f
857657409,sub-857183962/sub-857183962_ses-857657409_icephys.nwb,67.5,41c84781-a666-4a7a-9f65-4319310c8b15
868240696,sub-868104622/sub-868104622_ses-868240696_icephys.nwb,23.2,708dc7cd-0395-43f0-aa20-10b15a00b434
868243054,sub-868104622/sub-868104622_ses-868243054_icephys.nwb,35.1,df96a2a6-18cc-4d96-afbe-2a39214d2b50
868257748,sub-868104622/sub-868104622_ses-868257748_icephys.nwb,59.3,1348a160-e44f-4612-a9fd-891abb42375b
880144891,sub-879881396/sub-879881396_ses-880144891_icephys.nwb,19.0,08c455ea-3154-45b8-b9cc-658db105e334
880167657,sub-879881396/sub-879881396_ses-880167657_icephys.nwb,62.3,e0d8f62f-5a2d-42e7-9b39-72fd7155b7da
880175032,sub-879881396/sub-879881396_ses-880175032_icephys.nwb,19.4,08a817e4-97c9-4f43-8cd3-a2373b73fd0c
880208967,sub-879881396/sub-879881396_ses-880208967_icephys.nwb,66.9,3cdc74fa-ccfb-4212-be8e-1e90b06deeed
880209119,sub-879881396/sub-879881396_ses-880209119_icephys.nwb,21.0,f86009b9-6815-4828-a199-a9a5d9dc2f2f
880238239,sub-879881396/sub-879881396_ses-880238239_icephys.nwb,65.5,6168d523-d76d-427c-b792-3ef3884c7924
880290309,sub-879881396/sub-879881396_ses-880290309_icephys.nwb,25.6,bf477175-a187-4cf8-9f1d-bc66e897432b
880294301,sub-879881396/sub-879881396_ses-880294301_icephys.nwb,19.8,64edfb5e-873d-4dc7-9ca7-b54fd049ff52
880301790,sub-879881396/sub-879881396_ses-880301790_icephys.nwb,19.7,7610d58d-2312-4846-854b-f2e331f9bf75
880343582,sub-879881396/sub-879881396_ses-880343582_icephys.nwb,42.1,8688ed70-dfdf-4f63-ab1d-86dbf58a6f3d
880462462,sub-879881396/sub-879881396_ses-880462462_icephys.nwb,31.4,355cf686-6885-47b9-8613-ca3617717b56
880463024,sub-879881396/sub-879881396_ses-880463024_icephys.nwb,73.6,2ff9f333-c5c4-4c94-8e82-7b1806682d9d
880463601,sub-879881396/sub-879881396_ses-880463601_icephys.nwb,29.6,3f7cdf51-98aa-4eb1-bea6-281cb116ea8e
880478351,sub-879881396/sub-879881396_ses-880478351_icephys.nwb,46.8,77a87dc9-859c-4acd-8cc0-8baf9b96861e
880991701,sub-880899813/sub-880899813_ses-880991701_icephys.nwb,66.2,9256b8ba-ebe7-45b7-83d5-c6ff24a2bab3
902449420,sub-902323111/sub-902323111_ses-902449420_icephys.nwb,59.1,07df99f3-eb62-4668-b59a-d6c431886ab8
902486943,sub-902323111/sub-902323111_ses-902486943_icephys.nwb,39.2,c8557b91-5cf0-491e-9eda-3e2578069d60
902498711,sub-902323111/sub-902323111_ses-902498711_icephys.nwb,58.5,e961e723-8042-4d67-90fa-e8a8d0833407
902511350,sub-902323111/sub-902323111_ses-902511350_icephys.nwb,67.6,d72947c0-9a43-4e99-a095-51cc5b09cc39
911007218,sub-910872916/sub-910872916_ses-911007218_icephys.nwb,25.3,853bf084-0a4e-406d-9be1-bbf0b46433c1
